"","short_cite","pCurveStat"
"1","French, Addyman, & Mareschal (2011)","t(19)=4.62"
"2","Mersad & Nazzi (2012)","t(19)=3.25"
"3","Johnson & Jusczyk (2001)","F(1,15)=8.47"
"4","Thiessen & Saffran (2003)","t(12)=3.37"
"5","Johnson & Tyler (2010)",NA
"6","French, Addyman, & Mareschal (2011)","t(12)=2.57"
"7","Johnson & Tyler (2010)",NA
"8","Saffran, Aslin, & Newport (1996)","t(23)=2.3"
"9","Saffran, Aslin, & Newport (1996)","t(23)=2.4"
"10","Bugarelli, Benitez, Saffran, Byers-Heinlein, & Weiss (2017)","t(23)=2.47"
"11","Johnson & Jusczyk (2003)b",NA
"12","Graf Estes, Gluck, & Bastos (2015)","F(1,27)=6.47"
"13","Aslin, Saffran, & Newport (1998)","t(29)=2.1"
"14","Thiessen (2010)","t(14)=2.5"
"15","Mersad & Nazzi (2012)","t(19)=0.79"
"16","Hoareau, Yeung, and Nazzi (2019)","F(1,32)=4.91"
"17","Graf Estes, Gluck, & Bastos (2015)","t(15)=0.88"
"18","Johnson & Jusczyk (2003)b",NA
"19","Johnson & Tyler (2010)",NA
"20","Johnson & Jusczyk (2003)a",NA
"21","Lany, Shoaib, Thompson, & GrafEstes (2018)","t(37)=-0.11"
"22","Johnson & Jusczyk (2003)b",NA
"23","Johnson & Tyler (2010)",NA
"24","Graf Estes, Gluck, & Bastos (2015)","t(13)=-2.73"
"25","Johnson & Jusczyk (2003)a",NA
"26","Johnson & Seidl (2009)","F(1,19)=7.76"
